wordnet,wikipedia,source
anus.n.01,anus,BABELNET
anxiety.n.01,anxiety,BABELNET
anxiety_disorder.n.01,anxiety_disorder,BABELNET
aorta.n.01,aorta,BABELNET
aortic_aneurysm.n.01,aortic_aneurysm,BABELNET
aortic_arch.n.01,aortic_arch,BABELNET
aortic_stenosis.n.01,aortic_stenosis,BABELNET
aortic_valve.n.01,aortic_valve,BABELNET
aortitis.n.01,aortitis,BABELNET
apache.n.02,Apache,FERNANDO
apartment.n.01,apartment,BABELNET
apartment_building.n.01,Apartment_building,FERNANDO
apathy.n.02,apathy,BABELNET
apatite.n.01,apatite,BABELNET
ape.n.01,ape,BABELNET
aperture.n.01,aperture,BABELNET
aphesis.n.01,Mispronunciation,BING
aphid.n.01,aphid,BABELNET
aplastic_anemia.n.01,aplastic_anemia,BABELNET
aplomb.n.01,cool_(aesthetic),BABELNET
apology.n.02,apology_(Plato),BABELNET
aponeurosis.n.01,aponeurosis,BABELNET
apophysis.n.01,Apophysis_(botany),BING
apoptosis.n.01,programmed_cell_death,BABELNET
apostle.n.01,Apostle_(Christian),BING
apostrophe.n.01,apostrophe_(figure_of_speech),BABELNET
apparatus.n.01,Critical_apparatus,BING
apparel.n.01,History_of_clothing_and_textiles,BING
apparition.n.03,Apparition,BING
appearance.n.03,appearance_(law),BABELNET
appellation.n.01,appellation,BABELNET
appendectomy.n.01,appendectomy,BABELNET
appendicitis.n.01,appendicitis,BABELNET
appendicular_skeleton.n.01,appendicular_skeleton,BABELNET
appendix.n.02,appendix_(anatomy),BABELNET
appetizer.n.01,entrée,BABELNET
applause.n.01,clapping,BABELNET
apple.n.02,Apple,FERNANDO
apple_butter.n.01,apple_butter,BABELNET
apple_juice.n.01,apple_juice,BABELNET
apple_maggot.n.01,railroad_worm,BABELNET
apple_pie.n.01,apple_pie,BABELNET
apple_tree.n.01,Apple,BING
applet.n.01,applet,BABELNET
appliance.n.01,Widget_(GUI),BABELNET
applicant.n.01,Application_analyst,BING
application.n.03,Coating,FERNANDO
applique.n.01,appliqué,BABELNET
appointment.n.01,Appointment,BING
appointment_book.n.01,Appointment_scheduling_software,BING
appraisal.n.02,Real_estate_appraisal,BING
appraiser.n.01,appraiser,BABELNET
apprehension.n.04,Apprehension_(understanding),BING
apprentice.n.01,Apprenticeship,BABELNET
approach_path.n.01,instrument_landing_system,BABELNET
approbation.n.01,Approbation,FERNANDO
apricot.n.01,apricot,BABELNET
aquarium.n.01,aquarium,BABELNET
aquatic_plant.n.01,aquatic_plant,BABELNET
aquatint.n.01,Aquatint,FERNANDO
aqueduct.n.01,aqueduct_(bridge),BABELNET
aqueous_humor.n.01,aqueous_humour,BABELNET
aquifer.n.01,aquifer,BABELNET
arabesque.n.01,arabesque_(ballet_position),BABELNET
arabic_numeral.n.01,Arabic_numerals,BING
arachnid.n.01,arachnid,BABELNET
arachnoid.n.01,arachnoid_mater,BABELNET
aragonite.n.01,aragonite,BABELNET
araucaria.n.01,Araucaria,BABELNET
arbiter.n.02,Arbitration_in_the_United_States,BABELNET
arbitrage.n.01,arbitrage,BABELNET
arboretum.n.01,botanical_garden,BABELNET
arcade.n.02,arcade_(architecture),BABELNET
